iter	Passed	Remaining
0	0	98
1	1	97
2	2	96
3	3	91
4	4	90
5	5	89
6	6	88
7	7	87
8	8	86
9	9	85
10	10	86
11	11	86
12	12	86
13	14	87
14	15	87
15	16	87
16	17	86
17	18	84
18	19	84
19	20	83
20	21	81
21	22	79
22	23	78
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	49	44
53	50	43
54	51	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	81	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
